index	name	abbreviation	color	volume_mm3
338	left Retrosplenial area, ventral part, layer 6b	RSPv6b-L	1AA497	0.02475000117556192
339	left Posterior parietal association areas	PTLp-L	009FAC	0.0
340	left Posterior parietal association areas, layer 1	PTLp1-L	009DAB	0.0
341	left Posterior parietal association areas, layer 2/3	PTLp2/3-L	009EAC	0.0
342	left Posterior parietal association areas, layer 4	PTLp4-L	019FAA	0.0
343	left Posterior parietal association areas, layer 5	PTLp5-L	019DAC	0.0
344	left Posterior parietal association areas, layer 6a	PTLp6a-L	019FAB	0.0
345	left Posterior parietal association areas, layer 6b	PTLp6b-L	009FAA	0.0
346	left Anterior area	VISa-L	009FAB	0.0
347	left Anterior area, layer 1	VISa1-L	019FAC	0.11887500564625952
348	left Anterior area, layer 2/3	VISa2/3-L	009EAB	0.21343751013773726
349	left Anterior area, layer 4	VISa4-L	019EAC	0.07757812868476321
350	left Anterior area, layer 5	VISa5-L	019EAB	0.17745313342857116
351	left Anterior area, layer 6a	VISa6a-L	009DAC	0.11156250529893441
352	left Anterior area, layer 6b	VISa6b-L	029FAC	0.020156250957370503
353	left Rostrolateral visual area	VISrl-L	009EAA	0.0
354	left Rostrolateral area, layer 1	VISrl1-L	029FAB	0.0847812540268933
355	left Rostrolateral area, layer 2/3	VISrl2/3-L	029EAC	0.1379062565501954
356	left Rostrolateral area, layer 4	VISrl4-L	019EAA	0.07339062848586764
357	left Rostrolateral area, layer 5	VISrl5-L	019DAB	0.12178125578429899
358	left Rostrolateral area, layer 6a	VISrl6a-L	029EAB	0.07568750359496335
359	left Rostrolateral area, layer 6b	VISrl6b-L	009DAA	0.014515625689455192
360	left Temporal association areas	TEa-L	16B0B3	0.0
361	left Temporal association areas, layer 1	TEa1-L	15B0B3	0.26737501269963104
362	left Temporal association areas, layer 2/3	TEa2/3-L	16AFB3	0.35167189170351776
363	left Temporal association areas, layer 4	TEa4-L	15B0B2	0.15618750741850818
